algoritmi | alkuperäinen koko (tavua) | pakattu koko (tavua) | pakattu / alkuperäinen (%) | pakkausaika (ms) | purkuaika (ms)
---|---|---|---|---|---
LZW | 64 | 66 | 103.125 | 0.387 | 0.370
LZW | 128 | 116 | 90.625 | 0.389 | 0.528
LZW | 256 | 204 | 79.688 | 0.564 | 0.511
LZW | 512 | 398 | 77.734 | 0.929 | 0.834
LZW | 1024 | 689 | 67.285 | 0.935 | 0.974
LZW | 2048 | 1317 | 64.307 | 2.601 | 3.014
LZW | 4096 | 2264 | 55.273 | 5.790 | 2.870
LZW | 8192 | 4174 | 50.952 | 6.948 | 4.227
LZW | 16384 | 7567 | 46.185 | 11.360 | 7.260
LZW | 32768 | 12268 | 37.439 | 13.661 | 11.419
LZW | 65536 | 22179 | 33.842 | 32.322 | 19.294
LZW | 131072 | 41794 | 31.886 | 53.382 | 31.208
LZW | 262144 | 80551 | 30.728 | 101.434 | 61.626
LZW | 524288 | 156602 | 29.869 | 195.810 | 125.634
LZW | 1048576 | 304295 | 29.020 | 371.246 | 237.150
LZW | 2097152 | 556353 | 26.529 | 796.787 | 513.327
Huffman | 64 | 59 | 92.188 | 0.195 | 0.353
Huffman | 128 | 95 | 74.219 | 0.223 | 0.429
Huffman | 256 | 172 | 67.188 | 0.222 | 0.431
Huffman | 512 | 314 | 61.328 | 0.192 | 0.441
Huffman | 1024 | 595 | 58.105 | 0.342 | 1.485
Huffman | 2048 | 1144 | 55.859 | 1.183 | 2.437
Huffman | 4096 | 2243 | 54.761 | 0.599 | 3.051
Huffman | 8192 | 4415 | 53.894 | 1.228 | 6.164
Huffman | 16384 | 8798 | 53.699 | 1.065 | 6.924
Huffman | 32768 | 17554 | 53.571 | 2.209 | 14.244
Huffman | 65536 | 35087 | 53.539 | 3.926 | 34.585
Huffman | 131072 | 70106 | 53.487 | 9.235 | 51.271
Huffman | 262144 | 140104 | 53.445 | 18.829 | 126.531
Huffman | 524288 | 280288 | 53.461 | 29.786 | 213.252
Huffman | 1048576 | 560594 | 53.462 | 62.908 | 417.519
Huffman | 2097152 | 1121061 | 53.456 | 131.862 | 741.858
